img,doctor,experience,top_model,weight
519_HC.png,Doc_F,non-expert,M5,0.3333333333333333
561_2HC.png,Doc_F,non-expert,M3,0.3333333333333333
561_2HC.png,Doc_F,non-expert,M4,0.3333333333333333
561_2HC.png,Doc_F,non-expert,M5,0.3333333333333333
439_HC.png,Doc_F,non-expert,M1,0.3333333333333333
439_HC.png,Doc_F,non-expert,M4,0.3333333333333333
439_HC.png,Doc_F,non-expert,M5,0.3333333333333333
493_HC.png,Doc_F,non-expert,M2,0.3333333333333333
493_HC.png,Doc_F,non-expert,M3,0.3333333333333333
493_HC.png,Doc_F,non-expert,M4,0.3333333333333333
473_HC.png,Doc_F,non-expert,M2,0.3333333333333333
473_HC.png,Doc_F,non-expert,M3,0.3333333333333333
473_HC.png,Doc_F,non-expert,M5,0.3333333333333333
510_HC.png,Doc_F,non-expert,M2,0.25
510_HC.png,Doc_F,non-expert,M3,0.25
510_HC.png,Doc_F,non-expert,M4,0.25
510_HC.png,Doc_F,non-expert,M5,0.25
512_HC.png,Doc_F,non-expert,M2,0.25
512_HC.png,Doc_F,non-expert,M3,0.25
512_HC.png,Doc_F,non-expert,M4,0.25
512_HC.png,Doc_F,non-expert,M5,0.25
193_2HC.png,Doc_F,non-expert,M3,0.5
193_2HC.png,Doc_F,non-expert,M5,0.5
208_HC.png,Doc_F,non-expert,M3,1.0
001_HC.png,Doc_F,non-expert,M4,0.5
001_HC.png,Doc_F,non-expert,M5,0.5
178_HC.png,Doc_F,non-expert,M4,0.5
178_HC.png,Doc_F,non-expert,M5,0.5
160_HC.png,Doc_F,non-expert,M2,0.25
160_HC.png,Doc_F,non-expert,M3,0.25
160_HC.png,Doc_F,non-expert,M4,0.25
160_HC.png,Doc_F,non-expert,M5,0.25
350_HC.png,Doc_F,non-expert,M2,0.25
350_HC.png,Doc_F,non-expert,M3,0.25
350_HC.png,Doc_F,non-expert,M4,0.25
350_HC.png,Doc_F,non-expert,M5,0.25
712_2HC.png,Doc_F,non-expert,M3,0.3333333333333333
712_2HC.png,Doc_F,non-expert,M4,0.3333333333333333
712_2HC.png,Doc_F,non-expert,M5,0.3333333333333333
058_HC.png,Doc_F,non-expert,M2,0.25
058_HC.png,Doc_F,non-expert,M3,0.25
058_HC.png,Doc_F,non-expert,M4,0.25
058_HC.png,Doc_F,non-expert,M5,0.25
072_HC.png,Doc_F,non-expert,M2,0.25
072_HC.png,Doc_F,non-expert,M3,0.25
072_HC.png,Doc_F,non-expert,M4,0.25
072_HC.png,Doc_F,non-expert,M5,0.25
719_HC.png,Doc_F,non-expert,M2,0.25
719_HC.png,Doc_F,non-expert,M3,0.25
719_HC.png,Doc_F,non-expert,M4,0.25
719_HC.png,Doc_F,non-expert,M5,0.25
352_2HC.png,Doc_F,non-expert,M2,0.25
352_2HC.png,Doc_F,non-expert,M3,0.25
352_2HC.png,Doc_F,non-expert,M4,0.25
352_2HC.png,Doc_F,non-expert,M5,0.25
375_HC.png,Doc_F,non-expert,M4,0.5
375_HC.png,Doc_F,non-expert,M5,0.5
057_HC.png,Doc_F,non-expert,M1,0.3333333333333333
057_HC.png,Doc_F,non-expert,M2,0.3333333333333333
057_HC.png,Doc_F,non-expert,M3,0.3333333333333333
035_HC.png,Doc_F,non-expert,M4,1.0
357_HC.png,Doc_F,non-expert,M2,0.25
357_HC.png,Doc_F,non-expert,M3,0.25
357_HC.png,Doc_F,non-expert,M4,0.25
357_HC.png,Doc_F,non-expert,M5,0.25
026_2HC.png,Doc_F,non-expert,M4,1.0
032_HC.png,Doc_F,non-expert,M5,1.0
708_HC.png,AI,,M5,1.0
110_HC.png,AI,,M5,1.0
089_HC.png,AI,,M5,1.0
592_HC.png,AI,,M5,1.0
380_HC.png,AI,,M5,1.0
771_HC.png,AI,,M5,1.0
519_HC.png,AI,,M5,1.0
561_2HC.png,AI,,M5,1.0
439_HC.png,AI,,M5,1.0
493_HC.png,AI,,M5,1.0
473_HC.png,AI,,M5,1.0
510_HC.png,AI,,M5,1.0
512_HC.png,AI,,M5,1.0
193_2HC.png,AI,,M5,1.0
001_HC.png,AI,,M5,1.0
208_HC.png,AI,,M5,1.0
178_HC.png,AI,,M5,1.0
032_HC.png,AI,,M5,1.0
026_2HC.png,AI,,M5,1.0
160_HC.png,AI,,M5,1.0
350_HC.png,AI,,M5,1.0
712_2HC.png,AI,,M5,1.0
058_HC.png,AI,,M5,1.0
072_HC.png,AI,,M5,1.0
719_HC.png,AI,,M5,1.0
352_2HC.png,AI,,M5,1.0
375_HC.png,AI,,M5,1.0
057_HC.png,AI,,M5,1.0
035_HC.png,AI,,M5,1.0
357_HC.png,AI,,M5,1.0
